item	cash	token0	token1	token2	token3	token4	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_cs_dna_angler	1								
item_cs_dna_bageraset	1								
item_cs_dna_bantha	1								
item_cs_dna_bark_mite	1								
item_cs_dna_bearded_jax	1								
item_cs_dna_blurrg	1								
item_cs_dna_boar_wolf	1								
item_cs_dna_bocatt	1								
item_cs_dna_bol	1								
item_cs_dna_bolle_bol	1								
item_cs_dna_bolma	1								
item_cs_dna_bordok	1								
item_cs_dna_borgle	1								
item_cs_dna_brackaset	1								
item_cs_dna_capper_spineflap	1								
item_cs_dna_carrion_spat	1								
item_cs_dna_choku	1								
item_cs_dna_chuba	1								
item_cs_dna_condor_dragon	1								
item_cs_dna_corellian_butterfly	1								
item_cs_dna_corellian_sand_panther	1								
item_cs_dna_corellian_slice_hound	1								
item_cs_dna_crystal_snake	1								
item_cs_dna_mutated_narglatch	1								
item_cs_dna_cu_pa	1								
item_cs_dna_dalyrake	1								
item_cs_dna_dewback	1								
item_cs_dna_dune_lizard	1								
item_cs_dna_durni	1								
item_cs_dna_dwarf_nuna	1								
item_cs_dna_eopie	1								
item_cs_dna_falumpaset	1								
item_cs_dna_fambaa	1								
item_cs_dna_fanned_rawl	1								
item_finned_blaggart_dna	1								
item_cs_dna_flewt	1								
item_cs_dna_flit	1								
item_dna_worm	1								
item_cs_dna_fynock	1								
item_cs_dna_gackle_bat	1								
item_cs_dna_gaping_spider	1								
item_cs_dna_gnort	1								
item_cs_dna_gronda	1								
item_cs_dna_grunaset	1								
item_cs_dna_gualama	1								
item_cs_dna_gubbur	1								
item_cs_dna_guf_drolg	1								
item_cs_dna_gulginaw	1								
item_cs_dna_gurk	1								
item_cs_dna_gurreck	1								
item_cs_dna_hanadak	1								
item_cs_dna_hermit_spider	1								
item_cs_dna_horned_krevol	1								
item_cs_dna_huf_dun	1								
item_cs_dna_huurton	1								
item_cs_dna_ikopi	1								
item_cs_dna_kaadu	1								
item_cs_dna_kai_tok	1								
item_cs_dna_kashyyyk_bantha	1								
item_cs_dna_kima	1								
item_cs_dna_kimogila	1								
item_cs_dna_kliknik	1								
item_cs_dna_krahbu	1								
item_cs_dna_kusak	1								
item_cs_dna_kwi	1								
